Open,High,Low,Volume
4650.35986328125,4697.669921875,4645.52978515625,2439570000
4703.9599609375,4740.740234375,4703.9599609375,2194630000
4733.990234375,4791.490234375,4733.990234375,2264120000
4795.490234375,4807.02001953125,4780.0400390625,2217050000
4788.64013671875,4804.06005859375,4778.080078125,2369370000
4794.22998046875,4808.93017578125,4775.330078125,2390990000
4775.2099609375,4786.830078125,4765.75,2446190000
4778.14013671875,4796.64013671875,4758.169921875,2775190000
4804.509765625,4818.6201171875,4774.27001953125,3641050000
4787.990234375,4797.7001953125,4699.43994140625,3733540000
4693.39013671875,4725.009765625,4671.259765625,3371250000
4697.66015625,4707.9501953125,4662.740234375,3279870000
4655.33984375,4673.02001953125,4582.240234375,3621800000
4669.14013671875,4714.1298828125,4638.27001953125,3421600000
4728.58984375,4748.830078125,4706.7099609375,3060040000
4733.56005859375,4744.1298828125,4650.2900390625,3539830000
4637.990234375,4665.1298828125,4614.75,3483530000
4632.240234375,4632.240234375,4568.7001953125,3324960000
4588.02978515625,4611.5498046875,4530.2001953125,3387370000
4547.35009765625,4602.10986328125,4477.9501953125,3473060000
4471.3798828125,4494.52001953125,4395.33984375,3945810000
4356.31982421875,4417.35009765625,4222.6201171875,5172540000
4366.64013671875,4411.009765625,4287.10986328125,3989420000
4408.43017578125,4453.22998046875,4304.7998046875,4046270000
4380.580078125,4428.740234375,4309.5,4074330000
4336.18994140625,4432.72021484375,4292.4599609375,3936030000
4431.7900390625,4516.89013671875,4414.02001953125,4001950000
4519.56982421875,4550.490234375,4483.52978515625,3796450000
4566.39013671875,4595.31005859375,4544.31982421875,3777170000
4535.41015625,4542.8798828125,4470.39013671875,3596830000
4482.7900390625,4539.66015625,4451.5,3673700000
4505.75,4521.85986328125,4471.47021484375,3291600000
4480.02001953125,4531.31982421875,4465.39990234375,3509330000
4547.0,4590.02978515625,4547.0,3662810000
4553.240234375,4588.919921875,4484.31005859375,4490500000
4506.27001953125,4526.330078125,4401.41015625,4164960000
4412.60986328125,4426.22021484375,4364.83984375,3466170000
4429.27978515625,4472.77001953125,4429.27978515625,3363200000
4455.75,4489.5498046875,4429.68017578125,3478750000
4456.06005859375,4456.06005859375,4373.81005859375,3596510000
4384.56982421875,4394.60009765625,4327.22021484375,3871340000
4332.740234375,4362.1201171875,4267.10986328125,4007780000
4324.93017578125,4341.509765625,4221.509765625,3814340000
4155.77001953125,4294.72998046875,4114.64990234375,5070560000
4298.3798828125,4385.33984375,4286.830078125,3941780000
4354.169921875,4388.83984375,4315.1201171875,4594010000
4363.14013671875,4378.4501953125,4279.5400390625,4679400000
4322.56005859375,4401.47998046875,4322.56005859375,4409090000
4401.31005859375,4416.77978515625,4345.56005859375,4062080000
4342.1201171875,4342.1201171875,4284.97998046875,4558250000
4327.009765625,4327.009765625,4199.85009765625,5506330000
4202.66015625,4276.93994140625,4157.8701171875,6237000000
4223.10009765625,4299.39990234375,4223.10009765625,4220180000
4252.5498046875,4268.27978515625,4209.7998046875,4008690000
4279.5,4291.009765625,4200.490234375,3877430000
4202.75,4247.56982421875,4161.72021484375,4757600000
4188.81982421875,4271.0498046875,4187.89990234375,4331170000
4288.14013671875,4358.89990234375,4251.990234375,5002240000
4345.10986328125,4412.669921875,4335.64990234375,4174170000
4407.33984375,4465.39990234375,4390.56982421875,6681510000
4462.39990234375,4481.75,4424.2998046875,3961050000
4469.10009765625,4522.0,4469.10009765625,3962880000
4493.10009765625,4501.06982421875,4455.81005859375,4014360000
4469.97998046875,4520.580078125,4465.169921875,3573430000
4522.91015625,4546.02978515625,4501.06982421875,3577520000
4541.08984375,4575.64990234375,4517.68994140625,3696850000
4602.85986328125,4637.2998046875,4589.66015625,4239660000
4624.2001953125,4627.77001953125,4581.31982421875,3665390000
4599.02001953125,4603.06982421875,4530.41015625,3782040000
4540.31982421875,4548.7001953125,4507.56982421875,3828290000
4547.97021484375,4583.5,4539.2099609375,3833500000
4572.4501953125,4593.4501953125,4514.169921875,3906230000
4494.169921875,4503.93994140625,4450.0400390625,4137080000
4474.64990234375,4521.16015625,4450.2998046875,4054010000
4494.14990234375,4520.41015625,4474.60009765625,3453040000
4462.64013671875,4464.35009765625,4408.3798828125,3452540000
4437.58984375,4471.0,4381.33984375,3451990000
4394.2998046875,4453.919921875,4392.7001953125,3273140000
4449.1201171875,4460.4599609375,4390.77001953125,3634740000
4385.6298828125,4410.31005859375,4370.2998046875,3509340000
4390.6298828125,4471.02978515625,4390.6298828125,3197930000
4472.259765625,4488.2900390625,4448.759765625,3678040000
4489.169921875,4512.93994140625,4384.47021484375,3833570000
4385.830078125,4385.830078125,4267.6201171875,3930660000
4255.33984375,4299.02001953125,4200.81982421875,4061070000
4278.14013671875,4278.14013671875,4175.0400390625,3760420000
4186.52001953125,4240.7099609375,4162.89990234375,3876340000
4222.580078125,4308.4501953125,4188.6298828125,3969440000
4253.75,4269.68017578125,4124.27978515625,3943480000
4130.60986328125,4169.81005859375,4062.510009765625,4474060000
4159.77978515625,4200.10009765625,4147.080078125,3877530000
4181.18017578125,4307.66015625,4148.91015625,4236210000
4270.43017578125,4270.43017578125,4106.009765625,4197620000
4128.169921875,4157.68994140625,4067.909912109375,4254300000
4081.27001953125,4081.27001953125,3975.47998046875,4746120000
4035.179931640625,4068.820068359375,3958.169921875,4630150000
3990.080078125,4049.090087890625,3928.820068359375,4683220000
3903.949951171875,3964.800048828125,3858.8701171875,4964130000
3963.89990234375,4038.8798828125,3963.89990234375,4142950000
4013.02001953125,4046.4599609375,3983.989990234375,3824320000
